anomaly_id,period,entity,anomaly_type,severity,metric_or_account,current_value,comparison_value,variance_amount,variance_percent,explanation,recommended_follow_up
ANOM-00012,2025-11,AQL,Revenue drop,Medium,Revenue,8053351.32,10161430.96,-2108079.6400000006,-0.20745893450424038,Revenue declined by more than the month-on-month threshold.,"Review customer, volume, pricing, and invoice timing movements."
ANOM-00013,2024-09,GCL,Revenue drop,Medium,Revenue,5452363.17,6998844.21,-1546481.04,-0.22096234658150793,Revenue declined by more than the month-on-month threshold.,"Review customer, volume, pricing, and invoice timing movements."
ANOM-00014,2024-11,GCL,Revenue drop,Medium,Revenue,3849449.4699999997,5063064.4,-1213614.9300000006,-0.23969968266648958,Revenue declined by more than the month-on-month threshold.,"Review customer, volume, pricing, and invoice timing movements."
ANOM-00015,2025-01,GCL,Revenue drop,Medium,Revenue,1981441.03,4013209.31,-2031768.28,-0.5062701999961223,Revenue declined by more than the month-on-month threshold.,"Review customer, volume, pricing, and invoice timing movements."
ANOM-00016,2025-09,GCL,Revenue drop,Medium,Revenue,5779860.04,7077019.34,-1297159.2999999998,-0.18329175570685946,Revenue declined by more than the month-on-month threshold.,"Review customer, volume, pricing, and invoice timing movements."
ANOM-00017,2025-10,GCL,Revenue drop,Medium,Revenue,4466791.58,5779860.04,-1313068.46,-0.22717997510541793,Revenue declined by more than the month-on-month threshold.,"Review customer, volume, pricing, and invoice timing movements."
ANOM-00018,2025-11,GCL,Persistent condition,Medium,Revenue drop,3600614.1,5779860.04,-2179245.94,-0.37704129942911213,Revenue drop persisted for 3 consecutive periods; 1 repeat alerts were consolidated.,Review the underlying driver as an ongoing condition rather than isolated monthly exceptions.
ANOM-00019,2024-07,SHL,Opex increase,Medium,Opex,7994995.390000001,2711487.25,5283508.140000001,1.9485646262950345,Operating expenses increased by more than the month-on-month threshold.,Review vendor spend and one-off operating costs.
ANOM-00020,2024-02,SHL,Revenue drop,Medium,Revenue,5969360.18,7689017.63,-1719657.4500000002,-0.22365112589812078,Revenue declined by more than the month-on-month threshold.,"Review customer, volume, pricing, and invoice timing movements."
ANOM-00021,2024-09,SHL,Revenue drop,Medium,Revenue,13138475.33,17181954.450000003,-4043479.120000003,-0.23533289718388248,Revenue declined by more than the month-on-month threshold.,"Review customer, volume, pricing, and invoice timing movements."
ANOM-00022,2024-10,SHL,Revenue drop,Medium,Revenue,10969351.450000001,13138475.33,-2169123.879999999,-0.1650970775160712,Revenue declined by more than the month-on-month threshold.,"Review customer, volume, pricing, and invoice timing movements."
ANOM-00023,2025-01,SHL,Revenue drop,Medium,Revenue,7884851.85,15590321.78,-7705469.93,-0.4942470103397699,Revenue declined by more than the month-on-month threshold.,"Review customer, volume, pricing, and invoice timing movements."
ANOM-00024,2025-02,SHL,Revenue drop,Medium,Revenue,6306588.7,7884851.85,-1578263.1499999994,-0.20016395742426024,Revenue declined by more than the month-on-month threshold.,"Review customer, volume, pricing, and invoice timing movements."
ANOM-00025,2025-09,SHL,Revenue drop,Medium,Revenue,13177459.16,16039679.530000001,-2862220.370000001,-0.17844623171221183,Revenue declined by more than the month-on-month threshold.,"Review customer, volume, pricing, and invoice timing movements."
ANOM-00026,2025-10,SHL,Revenue drop,Medium,Revenue,10875166.27,13177459.16,-2302292.8900000006,-0.1747144773545252,Revenue declined by more than the month-on-month threshold.,"Review customer, volume, pricing, and invoice timing movements."
ANOM-00027,2024-01,SHL,Potential duplicate transaction,High,JNL/01008 / JNL/DUPE01,744111.48,0.0,744111.48,,"Two or more transactions share the same entity, account, amount, and currency within a 7-day window but carry different reference numbers. Review for duplicate posting.",Inspect the source support and reverse one transaction if this is a duplicate posting.
ANOM-00028,2024-07,SHL,Round number large transaction,Medium,JNL/ROUND01,5000000.0,1000000.0,4000000.0,4.0,GL transaction JNL/ROUND01 is a large round-number amount.,Review approval support and coding for this round-number transaction.
ANOM-00029,2024-01,GCL,Aged suspense entry,High,JNL/SUSP01,780000.0,723.0,779277.0,1077.8381742738588,Suspense account entry JNL/SUSP01 is older than 90 days from the report date.,Clear or reclassify the suspense balance before management reporting.
ANOM-00030,2025-03,AQL,Potential reversal pair,Low,JNL/ACC01 / JNL/REV01,1200000.0,1200000.0,0.0,0.0,Transactions JNL/ACC01 and JNL/REV01 appear to reverse on the same account within 5 days.,Confirm whether this is an expected accrual reversal or requires explanation.
